,class,train,test,validation,Rename,database
98,spatula,38.0,2.0,1.0,,OID
99,spoon,1044.0,155.0,52.0,,OID
100,stairs,4533.0,131.0,36.0,,OID
101,stool,576.0,67.0,18.0,,OID
102,studio_couch,1133.0,125.0,47.0,couch,OID
103,suitcase,408.0,55.0,23.0,,OID
104,sword,391.0,82.0,25.0,,OID
105,table,44845.0,1714.0,593.0,,OID
106,tablet_computer,784.0,43.0,11.0,tablet,OID
107,tap,1170.0,101.0,40.0,water tap,OID
108,teapot,496.0,95.0,35.0,,OID
109,teddy_bear,1020.0,86.0,18.0,,OID
110,television,2789.0,135.0,39.0,screen,OID
111,tin_can,1307.0,143.0,36.0,canister,OID
112,toilet,862.0,62.0,28.0,,OID
113,toilet_paper,226.0,16.0,4.0,,OID
114,toothbrush,113.0,12.0,10.0,,OID
115,towel,144.0,20.0,6.0,,OID
116,toy,17481.0,972.0,308.0,,OID
117,tripod,1196.0,117.0,33.0,,OID
118,vase,1561.0,197.0,65.0,,OID
119,wall_clock,854.0,47.0,20.0,clock,OID
120,wardrobe,208.0,49.0,8.0,cupboard,OID
121,wheelchair,882.0,114.0,48.0,,OID
122,whiteboard,899.0,45.0,20.0,,OID
123,window,59833.0,2836.0,904.0,,OID
124,window_blind,397.0,35.0,12.0,,OID
125,wine,4878.0,258.0,93.0,,OID
126,wine_glass,4894.0,261.0,90.0,wine glass,OID
127,wok,470.0,59.0,31.0,frying pan,OID
128,alarm clock,164.0,,,clock,LVIS
129,pillow,2213.0,,,,LVIS
130,backpack,2182.0,,,,LVIS
131,Sofa,2190.0,,,couch,LVIS
132,glass (drink container),2188.0,,,glass,LVIS
133,bowl,2163.0,,,,LVIS
134,faucet,2162.0,,,water tap,LVIS
135,drawer,2157.0,,,,LVIS
136,Trash can,2155.0,,,,LVIS
137,Toilet,2152.0,,,,LVIS
138,vase,2138.0,,,,LVIS
139,curtain,2140.0,,,,LVIS
140,mirror,2132.0,,,,LVIS
141,knife,2125.0,,,,LVIS
142,fork,2114.0,,,,LVIS
143,clock,2106.0,,,,LVIS
144,lamp,2067.0,,,,LVIS
145,box,1997.0,,,,LVIS
146,doorknop,1948.0,,,,LVIS
147,Kite,1920.0,,,,LVIS
148,sink,1869.0,,,,LVIS
149,suitcase,1831.0,,,,LVIS
150,cup,1698.0,,,,LVIS
151,refrigerator,1655.0,,,,LVIS
152,plastic bag,1640.0,,,,LVIS
153,spoon,1287.0,,,,LVIS
154,remote control,1273.0,,,,LVIS
155,candle,1257.0,,,,LVIS
156,stove,1170.0,,,,LVIS
157,toilet tissue,1164.0,,,toilet paper,LVIS
158,speaker (stero equipment),1130.0,,,speaker,LVIS
159,microwave oven,1097.0,,,,LVIS
160,tray,1033.0,,,,LVIS
161,lightbulb,991.0,,,,LVIS
162,mug,933.0,,,cup,LVIS
163,bathtub,929.0,,,,LVIS
164,toothbrush,831.0,,,,LVIS
165,scissors,804.0,,,,LVIS
166,bucket,801.0,,,,LVIS
167,oven,776.0,,,,LVIS
168,chopping board,732.0,,,,LVIS
169,towel,719.0,,,,LVIS
170,ladder,710.0,,,,LVIS
171,fan,674.0,,,,LVIS
172,fireplace,603.0,,,,LVIS
173,soap,598.0,,,,LVIS
174,bow ribbon,561.0,,,,LVIS
175,pot,546.0,,,,LVIS
176,can,502.0,,,canister,LVIS
177,newspaper,480.0,,,,LVIS
178,shower head,432.0,,,shower,LVIS
179,shower curtain,424.0,,,curtain,LVIS
180,salt shaker,418.0,,,,LVIS
181,bath towel,405.0,,,towel,LVIS
182,pen,382.0,,,,LVIS
183,spatula,353.0,,,,LVIS
184,stool,344.0,,,,LVIS
185,microphone,315.0,,,,LVIS
186,pitcher (vessel for liquid),309.0,,,pitcher,LVIS
187,blender,283.0,,,,LVIS
188,crate,279.0,,,box,LVIS
189,saucer,278.0,,,,LVIS
190,pan,276.0,,,frying pan,LVIS
191,coffee maker,264.0,,,,LVIS
192,hand towel,229.0,,,towel,LVIS
193,guitar,221.0,,,,LVIS
194,teapot,151.0,,,,LVIS
195,frying pan,141.0,,,,LVIS
196,wheelchair,90.0,,,,LVIS
197,sword,61.0,,,,LVIS
